timestamp,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7
1690658,690,662,673,658,658,670,655,663
1690658,680,655,650,644,642,645,655,673
1690658,623,641,645,653,664,660,657,666
1690658,651,655,659,652,658,661,660,663
1690658,1071,643,654,644,658,662,661,654
1690658,653,635,652,653,651,655,655,647
1690658,609,628,651,640,651,651,651,659
1690658,600,698,644,635,650,645,656,653
1691226,685,677,659,660,660,659,658,661
1691226,701,659,654,645,639,639,656,669
1691226,620,636,639,653,660,662,663,670
1691226,632,644,654,660,658,658,659,666
1691226,1073,649,649,647,651,657,664,655
1691226,644,642,645,650,654,651,655,655
1691226,633,1130,644,650,641,640,645,649
1691226,610,640,637,644,637,646,658,654
1691821,685,663,662,662,664,660,654,653
1691821,702,652,654,640,648,649,655,664
1691821,622,637,646,658,661,658,665,666
1691821,628,650,651,657,656,661,658,664
1691821,1024,643,655,658,653,651,652,662
1691821,716,643,652,646,661,657,653,661
1691821,625,660,644,644,648,649,647,656
1691821,609,761,645,645,645,647,657,652
1692612,685,666,672,669,670,668,659,670
1692612,673,653,659,647,639,648,650,661
1692612,628,642,637,656,657,661,664,665
1692612,644,652,651,658,658,655,656,670
1692612,672,643,658,656,648,653,659,670
1692612,648,635,652,657,647,647,658,659
1692612,620,628,645,648,653,637,652,656
1692612,608,630,638,638,647,646,644,661
1693277,684,660,665,668,666,666,645,660
1693277,676,651,650,639,647,643,649,673
1693277,618,633,644,649,664,671,658,667
1693277,641,657,660,656,662,661,664,658
1693277,958,642,651,656,649,662,659,661
1693277,691,655,648,656,654,660,661,655
1693277,620,637,647,651,644,655,665,660
1693277,602,697,645,640,646,644,663,661
1693878,674,656,660,652,651,655,652,647
1693878,652,643,640,633,642,643,654,662
1693878,611,633,644,660,658,658,657,658
1693878,1076,647,648,656,660,656,661,663
1693878,810,639,648,647,654,661,657,663
1693878,964,637,649,650,648,656,654,657
1693878,623,631,641,650,654,650,658,662
1693878,600,732,643,639,641,650,661,654
1694863,673,655,651,645,655,653,647,649
1694863,640,639,628,637,641,642,650,668
1694863,615,632,647,649,651,661,657,657
1694863,1143,643,646,652,648,647,657,663
1694863,1096,633,648,646,655,654,659,656
1694863,657,657,646,653,656,652,650,660
1694863,627,630,637,645,649,641,656,660
1694863,594,1049,635,643,650,653,653,655
1695882,692,663,656,664,666,675,660,648
1695882,674,653,655,640,645,644,659,660
1695882,619,636,641,651,660,657,663,672
1695882,626,651,658,660,657,656,661,662
1695882,755,642,657,657,655,656,654,657
1695882,660,631,647,647,647,652,648,657
1695882,624,624,649,642,648,649,656,662
1695882,602,1046,639,643,650,651,646,668
1696391,683,670,666,660,661,662,662,660
1696391,688,659,657,646,647,647,658,658
1696391,619,634,643,654,659,665,661,665
1696391,637,651,652,654,661,660,661,661
1696391,999,647,652,656,656,657,655,654
1696391,650,643,646,649,656,653,658,661
1696391,622,642,641,635,653,643,654,661
1696391,607,1005,629,634,642,651,653,654
1697122,659,671,675,669,672,671,660,651
1697122,677,661,646,645,641,640,658,664
1697122,613,634,641,645,666,656,656,670
1697122,627,655,656,659,654,668,657,656
1697122,1037,639,653,658,655,654,659,656
1697122,660,639,647,647,655,646,659,657
1697122,623,639,640,643,647,644,649,651
1697122,613,1062,640,644,647,646,656,656
1697971,689,666,666,660,665,667,665,659
1697971,673,654,644,644,642,657,657,666
1697971,627,636,637,647,658,665,669,669
1697971,633,652,657,656,655,660,666,661
1697971,1050,645,651,660,656,662,653,665
1697971,922,635,647,649,650,654,652,666
1697971,631,652,638,648,645,649,655,660
1697971,606,706,637,644,653,648,656,660
1698802,679,651,650,658,653,658,651,645
1698802,640,641,633,627,636,651,661,664
1698802,614,627,647,651,659,659,665,656
1698802,631,647,644,661,659,660,662,670
1698802,1055,642,647,651,651,658,657,657
1698802,632,648,644,651,654,660,666,660
1698802,642,630,642,637,647,648,656,658
1698802,604,1142,637,648,646,653,656,652
1699782,680,654,669,652,659,660,653,658
1699782,673,647,643,629,642,652,656,664
1699782,617,631,641,651,659,664,661,666
1699782,1126,652,651,645,655,659,654,654
1699782,1041,640,650,654,656,657,655,657
1699782,637,639,649,653,653,654,657,659
1699782,626,626,638,640,652,651,651,655
1699782,603,1000,636,639,642,654,658,666
1700454,681,667,661,660,666,666,663,666
1700454,663,652,651,646,649,654,650,663
1700454,605,642,642,657,656,670,665,668
1700454,636,647,656,666,654,661,663,659
1700454,997,646,656,654,659,656,661,660
1700454,641,644,647,649,654,651,655,659
1700454,614,1109,646,647,651,655,658,660
1700454,600,1059,634,630,643,648,658,659
1701251,687,668,668,656,662,669,667,673
1701251,694,657,651,652,644,645,652,666
1701251,634,638,643,650,656,659,660,668
1701251,627,656,655,658,654,654,653,660
1701251,977,645,651,655,657,652,658,656
1701251,639,635,644,649,660,659,650,665
1701251,626,637,645,649,647,653,653,656
1701251,608,1034,643,634,649,648,650,658
1702231,679,671,667,666,667,666,673,647
1702231,665,655,654,652,641,652,643,663
1702231,629,640,640,653,665,659,663,662
1702231,634,655,652,665,656,659,656,665
1702231,1009,645,658,654,658,655,661,668
1702231,644,638,651,652,655,643,651,660
1702231,627,644,647,645,650,648,650,655
1702231,603,639,629,642,650,641,652,655
1703012,673,655,657,651,656,655,654,659
1703012,635,639,638,639,644,646,661,663
1703012,616,631,645,647,662,660,655,661
1703012,635,648,648,658,652,658,663,661
1703012,1051,643,652,651,658,663,658,657
1703012,639,641,647,648,659,660,659,658
1703012,627,633,645,645,653,651,660,659
1703012,610,1027,642,641,651,645,655,653
1703878,669,656,648,646,651,652,651,649
1703878,632,633,621,630,637,648,660,668
1703878,614,632,641,657,654,653,662,663
1703878,642,645,645,646,648,652,654,669
1703878,1094,646,648,650,654,654,661,665
1703878,803,627,644,642,650,653,667,672
1703878,635,631,643,645,649,657,662,666
1703878,610,682,629,641,650,649,660,657
1704479,679,660,654,656,657,659,637,648
1704479,656,648,638,637,635,653,655,658
1704479,618,636,637,652,660,655,662,669
1704479,1351,649,654,655,654,660,658,662
1704479,1006,653,647,648,655,651,652,657
1704479,635,629,650,652,649,654,653,660
